playlist,track,artist,album
Old Guilty Pleasures,Babydoll,Dominic Fike,"Don't Forget About Me, Demos"
Old Guilty Pleasures,WET T-SHIRT,Ruby Waters,WET T-SHIRT
Old Guilty Pleasures,Harder,Ruby Waters,Harder
Old Guilty Pleasures,3 Nights,Dominic Fike,"Don't Forget About Me, Demos"
Old Guilty Pleasures,Sweet Sublime,Ruby Waters,Almost Naked
Old Guilty Pleasures,How Much Is Weed?,Dominic Fike,Sunburn
Old Guilty Pleasures,Last 10 Seconds,"One11Twenty, Kyle DelFatti, Mitch Mueller, Tim Jordan",Last 10 Seconds
Old Guilty Pleasures,Goodie Bag,Still Woozy,Goodie Bag
Old Guilty Pleasures,Fast Talk,"Dawn Golden, Houses",Drugstore Heaven
Old Guilty Pleasures,Night Drive,RUBII,Night Drive
Angry Boy Rap,Kill Yourself (Part III),$uicideboy$,My Liver Will Handle What My Heart Can't
Angry Boy Rap,Born 2 Stunt,"Getter, SXMPRA",Born 2 Stunt
Angry Boy Rap,Dead To Me,Terror Reid,Dead To Me
Angry Boy Rap,Leglock,"Shakewell, Mikey The Magician",Big Juice tha Sip
Angry Boy Rap,ODIUM,"LXST CXNTURY, Kingpin Skinny Pimp",UNIVERSE OF THE PAST
Analog Sofa Bath,No Rain,Blind Melon,Blind Melon
Analog Sofa Bath,Where Is My Mind?,Pixies,Death to the Pixies
Analog Sofa Bath,Wiseman,Slightly Stoopid,Live & Direct: Acoustic Roots
Analog Sofa Bath,Closer to the Sun,Slightly Stoopid,Closer to the Sun
Analog Sofa Bath,This Joint,Slightly Stoopid,Closer to the Sun
Analog Sofa Bath,Don't Wanna Fight,Alabama Shakes,Sound & Color
Dimick and Elise,Dirty Imbecile,The Happy Fits,Awfully Apeelin'
Dimick and Elise,Poor Isaac,The Airborne Toxic Event,Songs of God and Whiskey
Dimick and Elise,Not Going Anywhere,Keren Ann,Not Going Anywhere
Dimick and Elise,Woo!,Remi Wolf,I'm Allergic To Dogs!
Dimick and Elise,Pesticides - Acoustic,Moselle,Pesticides (Acoustic)
Dimick and Elise,To The Blade,Everything Everything,Get To Heaven (Deluxe)
Dimick and Elise,Rhinestone Eyes,James Supercave,Rhinestone Eyes
Dimick and Elise,Fear & Delight,The Correspondents,Puppet Loosely Strung
Dimick and Elise,Too Late,The Happy Fits,Awfully Apeelin'
Dimick and Elise,Puppet Loosely Strung,The Correspondents,Puppet Loosely Strung
Dimick and Elise,Big Town Banky Blaine's Rockabilly Bbq,Bear Ghost,Jiminy
Dimick and Elise,Poor George,James Supercave,Never Happened
Dimick and Elise,Young Adult,Ritt Momney,Young Adult
Dimick and Elise,Hallow Fate,Gin Wigmore,Ivory
Dimick and Elise,Do You,Morganne,Do You
Dimick and Elise,Orange,"Julianna Joy, Ariza",Orange
Dimick and Elise,Hayloft II,Mother Mother,Inside (Deluxe)
Dimick and Elise,Sick of The Silence,Mother Mother,Inside (Deluxe)
Dimick and Elise,Let Go,Everest,On Approach
Dimick and Elise,Rebels In The Roses,Everest,Ghost Notes
Dimick and Elise,1979,Darlingside,Whippoorwill
Dimick and Elise,3BadSoSad,Private Island,5xx
Dimick and Elise,Oleander,Mother Mother,Eureka
Dimick and Elise,vampire,Olivia Rodrigo,vampire
Dimick and Elise,The Rager,Kyle Craft,Full Circle Nightmare
Dimick and Elise,Under The Gun,Electric Guest,Mondo (Expanded Edition)
Dimick and Elise,Starstruck,Sorry,925
Dimick and Elise,Not the End of the World (Even as We Know It),Faded Paper Figures,Relics
Dimick and Elise,Original Sin,Fuckin Whatever,Fuckin Whatever
Dimick and Elise,The Record Player Song,Daisy the Great,I've Got a Few Friends & I Wish They Were Mine
Dimick and Elise,White Is Red,Death From Above 1979,The Physical World
Dimick and Elise,Hotel Yorba,The White Stripes,White Blood Cells
Dimick and Elise,We're Going to Be Friends,The White Stripes,White Blood Cells
Dimick and Elise,Clementine,Sarah Jaffe,Suburban Nature
Dimick and Elise,In A Sweater Poorly Knit,mewithoutYou,"Brother, Sister"
Dimick and Elise,Loving,Surfaces,Surf
Dimick and Elise,The Code,Nemo,The Code
Dimick and Elise,Where'd All the Time Go?,Dr. Dog,"Shame, Shame (Deluxe Edition)"
Dimick and Elise,More Like Jason,Little Tybee,Little Tybee
Dimick and Elise,Hypotheticals,Lake Street Dive,Obviously
Dimick and Elise,Light Goes Out,Ages and Ages,Divisionary
Dimick and Elise,I Got Love,Mother Mother,Inside (Deluxe)
Dimick and Elise,Original Sin,Fuckin Whatever,Fuckin Whatever
Dimick and Elise,White Is Red,Death From Above 1979,The Physical World
Dimick and Elise,Farrah Fawcett Hair,"Capital Cities, André 3000",In A Tidal Wave of Mystery
Dimick and Elise,On Melancholy Hill,Gorillaz,Plastic Beach
Dimick and Elise,We Can Make The World Stop,The Glitch Mob,We Can Make the World Stop - EP
Dimick and Elise,Mushaboom,Feist,Let It Die
Dimick and Elise,Feed the Machine,Poor Man's Poison,Feed the Machine
Dimick and Elise,Do You,Morganne,Do You
Dimick and Elise,"Welcome Home, Son",Radical Face,Ghost
Dimick and Elise,Cold Cold Cold,Cage The Elephant,Tell Me I'm Pretty
Dimick and Elise,I Won't Let You Go,"Switchfoot, Lauren Daigle",I Won't Let You Go
Dimick and Elise,We Both,"36 Questions, Jonathan Groff, Jessie Shelton",36 Questions: The Deluxe Album
Dimick and Elise,Object Of Desire,David Vertesi,Life Ghouls
Dimick and Elise,Let Me Follow,Son Lux,Original Music from and Inspired By: The Disappearance of Eleanor Rigby (Original Motion Picture Soundtrack)
Dimick and Elise,Dips,Daisy the Great,I'm Not Getting Any Taller
Dimick and Elise,Chillin’ For A Minute,"SoDown, Hairitage, Daemon",Colors of the Mind
Dimick and Elise,Baddest Motherfucker in the Beehive,The Delta Riggs,Active Galactic
Dimick and Elise,Vivre pour vivre (Thème principal) - 2023 Remastered Version,Francis Lai,Vivre pour vivre (Bande originale du film) [2023 Remastered Version]
Dimick and Elise,Starstruck,Sorry,925
Dimick and Elise,Evelyn,"Kim Tillman, Silent Films",Evelyn
Dimick and Elise,Birds With Broken Wings,Ben Caplan,Birds With Broken Wings
Dimick and Elise,Fisticuffs,Marah in the Mainsail,Bone Crown
Dimick and Elise,When I'm Small,Phantogram,Eyelid Movies
Dimick and Elise,Tieduprightnow,Parcels,Tieduprightnow
Dimick and Elise,Trapeze,Father Of Peace,The Year Of Madness
Dimick and Elise,Let's Talk,EMEFE,Time
Dimick and Elise,I'm Your Worm,Nat Lefkoff,There You Are
Dimick and Elise,Holy Toledo,Vundabar,Antics
Dimick and Elise,Caffeine,Foreign Air,Caffeine
Dimick and Elise,Oceans,Seafret,Tell Me It's Real (Expanded Edition)
Dimick and Elise,Saving A Life,Richard Houghten,Sonata De Grillo
Dimick and Elise,Twin Rivers,Big Scary,Not Art
Dimick and Elise,Nobody Cares,Superorganism,Nobody Cares
